priority,url,reason,gsc_data_confidence,local_status,canonical,sitemap,schema,images,submission_status
1,https://www.fypromogifts.com/catalog/gift-sets/,Primary gift-set pillar upgraded with buyer decision guide and community-derived questions,mixed_ai_contaminated,passed_online_qa,verified,verified,valid_1,verified_42,indexnow_200_gsc_pending
2,https://www.fypromogifts.com/corporate-gift-kits/,Program-planning intent clarified and linked to product catalog,mixed_ai_contaminated,passed_online_qa,verified,verified,valid_1,verified_10,indexnow_200_gsc_pending
3,https://www.fypromogifts.com/custom-gift-boxes-packaging/,Low-volume packaging decision content added,mixed_ai_contaminated,passed_online_qa,verified,verified,valid_1,verified_1,indexnow_200_gsc_pending
4,https://www.fypromogifts.com/catalog/gift-sets/smart-heated-ceramic-mug-gift-set/,Top seller MU024 with confirmed MOQ 100 and fired-decal route,mixed_ai_contaminated,verified_existing,verified,verified,valid_1,verified_1,gsc_pending_indexnow_not_submitted_unchanged
5,https://www.fypromogifts.com/catalog/gift-sets/premium-ceramic-mug-towel-gift-box/,Top seller MU023 with confirmed MOQ 40 and screen-printing route,mixed_ai_contaminated,verified_existing,verified,verified,valid_1,verified_2,gsc_pending_indexnow_not_submitted_unchanged
6,https://www.fypromogifts.com/catalog/gift-sets/ceramic-mug-towel-gift-set/,Top seller DR004 with confirmed MOQ 60 and fired-decal route,mixed_ai_contaminated,verified_existing,verified,verified,valid_1,verified_2,gsc_pending_indexnow_not_submitted_unchanged
7,https://www.fypromogifts.com/client-appreciation-gifts/,Commercial use-case page linked from pillar,mixed_ai_contaminated,verified_existing,verified,verified,valid_2,verified_7,gsc_pending_indexnow_not_submitted_unchanged
8,https://www.fypromogifts.com/employee-onboarding-kits/,Commercial use-case page linked from pillar,mixed_ai_contaminated,verified_existing,verified,verified,valid_2,verified_21,gsc_pending_indexnow_not_submitted_unchanged
9,https://www.fypromogifts.com/trade-show-giveaway-kits/,Commercial use-case page linked from pillar,mixed_ai_contaminated,verified_existing,verified,verified,valid_1,verified_4,gsc_pending_indexnow_not_submitted_unchanged
10,https://www.fypromogifts.com/brand-campaign-giveaways/,Established campaign-intent page retained as distinct content hub,mixed_ai_contaminated,verified_existing,verified,verified,valid_1,verified_13,gsc_pending_indexnow_not_submitted_unchanged
