url,role,decision,target,indexable,words,images,title,signal,rationale
/,conversion-home,protect-upgrade,,true,1642,47,Custom Promotional Gifts & Gift Kits | FY PromoGifts,74 GSC impressions; average position 8.27; preserve intent while improving conversion.,Primary brand and inquiry gateway; keep broad B2B positioning with gift-kit emphasis.
/best-promotional-gift-ideas-small-business-marketing-campaigns/,commercial-or-guide,keep-monitor,,true,1281,1,Promotional Gift Ideas for Small Business | FY PromoGifts,,"Validate unique search intent, visual proof and one primary conversion path before retaining as indexable."
/blog/,buyer-guide,keep-support,,true,476,15,Promotional Gifts Blog & Buyer Guides | FY PromoGifts,,Retain as the buyer-guide hub; its navigation intent is distinct from individual guides and it must route readers to commercial pages.
/blog/best-employee-onboarding-kit-ideas/,buyer-guide,keep-support,,true,1130,1,Onboarding Kit Ideas by Budget & Work Style | FY PromoGifts,,Informational support page; must answer a distinct buyer question and link to one commercial destination.
/blog/client-appreciation-gift-box-ideas/,buyer-guide,keep-support,,true,509,0,Client Appreciation Gift Box & Packaging Ideas | FY PromoGifts,,Retain for packaging-led client gift intent; keep distinct from recipient-tier gift selection and link to the packaging and client-appreciation transaction pages.
/blog/custom-client-appreciation-gift-ideas/,buyer-guide,keep-support,,true,1005,1,Custom Client Gift Ideas by Recipient Tier | FY PromoGifts,,Informational support page; must answer a distinct buyer question and link to one commercial destination.
/blog/employee-welcome-kit-ideas/,buyer-guide,keep-support,,true,650,1,What to Put in an Employee Welcome Kit | FY PromoGifts,,Retain for item-checklist intent; keep distinct from the budget and work-style guide and route to the employee onboarding transaction page.
/blog/how-to-build-custom-event-gift-kits/,buyer-guide,keep-support,,true,807,1,How to Build a Custom Event Gift Kit | FY PromoGifts,,Informational support page; must answer a distinct buyer question and link to one commercial destination.
/blog/low-moq-custom-promotional-products/,buyer-guide,keep-support,,true,2460,1,Low MOQ Custom Promotional Products Buyer Guide,,Informational support page; must answer a distinct buyer question and link to one commercial destination.
/blog/trade-show-giveaway-ideas-for-agencies/,buyer-guide,keep-support,,true,1121,1,Trade Show Giveaway Planning for Agencies | FY PromoGifts,,Informational support page; must answer a distinct buyer question and link to one commercial destination.
/blog/trade-show-giveaway-ideas/,buyer-guide,keep-support,,true,577,0,Trade Show Giveaway Ideas by Quantity & Audience | FY PromoGifts,,Retain for quantity-and-audience selection intent; keep distinct from the agency-planning and budget guides and route to the trade-show transaction page.
