evidence_id,type,claim_or_question,verified_value,unit,sample_size,measurement_period,source_location,verification_status,approved_by,last_verified,target_url,notes
E-001,buyer-question,,,,,,,needs_evidence,,,,Capture the next real buyer question before drafting content
E-002,product-priority,Top-selling set on Alibaba International Station,Top 3 seller,,3,current period,user message + three Alibaba product URLs,user_confirmed,user,2026-08-22,/catalog/gift-sets/,Use these three products as the first independent-site commercial cluster
E-003,moq,Customization MOQ for Alibaba product 1601226044160,100,pieces,1,current,https://www.alibaba.com/product-detail/LOW-MOQ-Customization-Smart-Electric-Usb_1601226044160.html,user_confirmed,user,2026-08-22,,Independent-site product mapping pending
E-004,decoration,Logo method for Alibaba product 1601226044160,High-temperature fired decal,,1,current,https://www.alibaba.com/product-detail/LOW-MOQ-Customization-Smart-Electric-Usb_1601226044160.html,user_confirmed,user,2026-08-22,,Do not generalize this method to other products
E-005,moq,Customization MOQ for Alibaba product 1601484463745,40,pieces,1,current,https://www.alibaba.com/product-detail/Creative-Coffee-Mug-Ceramic-Cup-Wedding_1601484463745.html,user_confirmed,user,2026-08-22,,Independent-site product mapping pending
E-006,decoration,Logo method for Alibaba product 1601484463745,Screen printing,,1,current,https://www.alibaba.com/product-detail/Creative-Coffee-Mug-Ceramic-Cup-Wedding_1601484463745.html,user_confirmed,user,2026-08-22,,Do not generalize this method to other products
E-007,moq,Customization MOQ for Alibaba product 1601234793200,60,pieces,1,current,https://www.alibaba.com/product-detail/New-Year-Gift-Custom-Mug-Towel_1601234793200.html,user_confirmed,user,2026-08-22,/catalog/drinkware/,Likely matches DR004 Ceramic Mug and Towel Gift Set; verify imagery before dedicated page creation
E-008,decoration,Logo method for Alibaba product 1601234793200,High-temperature fired decal,,1,current,https://www.alibaba.com/product-detail/New-Year-Gift-Custom-Mug-Towel_1601234793200.html,user_confirmed,user,2026-08-22,/catalog/drinkware/,Do not generalize this method to other products
E-009,sample-lead-time,Sample lead time for Top 3 mug gift sets,3-5,days,3,current,user message,user_confirmed,user,2026-08-25,/catalog/gift-sets/,Applies to MU024 MU023 and DR004 unless a future quotation states otherwise
E-010,production-lead-time,Mass production lead time for Top 3 mug gift sets,5-7,days,3,current,user message,user_confirmed,user,2026-08-25,/catalog/gift-sets/,Applies to MU024 MU023 and DR004 unless a future quotation states otherwise
E-011,packaging,Standard packaging for Top 3 mug gift sets,Fixed gift box,,3,current,user message,user_confirmed,user,2026-08-25,/catalog/gift-sets/,Standard orders use the existing fixed gift box
E-012,packaging-customization,Minimum quantity for custom gift box artwork,500,pieces,3,current,user message,user_confirmed,user,2026-08-25,/catalog/gift-sets/,Custom gift box artwork is available for orders of 500 pieces or more
E-013,real-product-photo,Customized fixed gift box production sample,Anonymized mosaic image,,1,current,data/seo-ops/evidence-images/anonymized/real-sample-gift-box-mosaic.png,user_confirmed_privacy_reviewed,user,2026-08-25,/catalog/gift-sets/,Customer branding uses a restrained mosaic that keeps color and general print contour while obscuring identifying detail; raw customer image is not imported into the project
E-014,real-product-photo,Customized ceramic mug production sample,Anonymized mosaic image,,1,current,data/seo-ops/evidence-images/anonymized/real-sample-ceramic-mug-mosaic.png,user_confirmed_privacy_reviewed,user,2026-08-25,/catalog/gift-sets/,Customer branding uses a balanced medium mosaic that preserves placement and color but prevents reliable identification; raw customer image is not imported into the project
E-015,real-product-photo,Ceramic mug and towel gift set packing sample,Anonymized mosaic image,,1,current,data/seo-ops/evidence-images/anonymized/real-sample-mug-towel-set-mosaic.png,user_confirmed_privacy_reviewed,user,2026-08-25,/catalog/gift-sets/,Customer emblem and personalized portrait use tight moderate mosaics that preserve customization contours without readable text or face detail; raw customer image is not imported into the project
